행정동명,거주인구수
가락1동,27473
가락2동,32575
가락본동,26564
가리봉동,8954
가산동,23377
가양1동,34086
가양2동,14168
가양3동,15239
가회동,4179
갈현1동,22494
갈현2동,28511
강일동,32402
개봉1동,34087
개봉2동,31186
개봉3동,20330
개포1동,6464
개포2동,21883
개포4동,23755
거여1동,12683
거여2동,18977
고덕1동,25012
고덕2동,22561
고척1동,22616
고척2동,26868
공덕동,37274
공릉1동,36983
공릉2동,39147
공항동,30844
광장동,34964
광희동,5210
교남동,10122
구로1동,20948
구로2동,24039
구로3동,23626
구로4동,19944
구로5동,29345
구산동,32464
구의1동,21783
구의2동,26661
구의3동,28891
군자동,19745
금호1가동,15460
금호2.3가동,22861
금호4가동,14424
길동,45962
길음1동,35655
길음2동,16624
낙성대동,16881
난곡동,27084
난향동,15436
남가좌1동,15586
남가좌2동,29778
남영동,7355
남현동,18177
내곡동,17769
노량진1동,31921
노량진2동,12389
녹번동,36845
논현1동,22481
논현2동,21316
능동,11410
다산동,13953
답십리1동,29073
답십리2동,28711
당산1동,20408
당산2동,37234
대림1동,14658
대림2동,12135
대림3동,22457
대방동,38340
대조동,27026
대치1동,24356
대치2동,36422
대치4동,19974
대학동,23589
대흥동,14365
도곡1동,21741
도곡2동,33454
도림동,17876
도봉1동,21224
도봉2동,27071
도화동,21313
독산1동,43755
독산2동,18890
독산3동,24252
독산4동,15376
돈암1동,14827
돈암2동,24168
동선동,15494
동화동,10407
둔촌1동,134
둔촌2동,24931
등촌1동,24275
등촌2동,20491
등촌3동,30977
마장동,22476
마천1동,19165
마천2동,19080
망우3동,16613
망우본동,30033
망원1동,20395
망원2동,18737
면목2동,24311
면목3.8동,25132
면목4동,19231
면목5동,14704
면목7동,21973
면목본동,33943
명동,2846
명일1동,26045
명일2동,17500
목1동,30982
목2동,30013
목3동,22055
목4동,25591
목5동,41427
무악동,8275
묵1동,34844
묵2동,19054
문래동,32848
문정1동,20233
문정2동,29121
미성동,30816
미아동,21799
반포1동,33780
반포2동,15750
반포3동,22279
반포4동,19004
반포본동,8892
발산1동,36257
방배1동,17005
방배2동,19724
방배3동,19019
방배4동,23501
방배본동,20832
방이1동,15845
방이2동,26606
방학1동,28723
방학2동,19797
방학3동,27440
방화1동,43248
방화2동,23246
방화3동,23007
번1동,18585
번2동,16044
번3동,17115
보광동,13691
보라매동,24362
보문동,15461
부암동,9679
북가좌1동,18178
북가좌2동,31957
북아현동,16173
불광1동,38840
불광2동,27945
사근동,11950
사당1동,22924
사당2동,27196
사당3동,24626
사당4동,14247
사당5동,14555
사직동,9376
삼각산동,31391
삼선동,22996
삼성1동,13077
삼성2동,29563
삼성동,22745
삼양동,24006
삼전동,30835
삼청동,2484
상계10동,18732
상계1동,38515
상계2동,20195
상계3.4동,26460
상계5동,24226
상계6.7동,32983
상계8동,22759
상계9동,20687
상도1동,44348
상도2동,28947
상도3동,24643
상도4동,28763
상봉1동,24503
상봉2동,20317
상암동,30687
서강동,24954
서교동,25051
서림동,23356
서빙고동,13114
서원동,22583
서초1동,20698
서초2동,23900
서초3동,32425
서초4동,30990
석관동,35291
석촌동,31859
성내1동,20189
성내2동,23930
성내3동,23343
성북동,16696
성산1동,19002
성산2동,39738
성수1가1동,16698
성수1가2동,12859
성수2가1동,16134
성수2가3동,11033
성현동,29537
세곡동,43660
소공동,2195
송정동,10583
송중동,29785
송천동,26751
송파1동,24193
송파2동,19434
수궁동,23687
수색동,11301
수서동,14972
수유1동,20782
수유2동,21356
수유3동,23152
숭인1동,5923
숭인2동,9637
시흥1동,32967
시흥2동,21377
시흥3동,10863
시흥4동,20456
시흥5동,19352
신길1동,17208
신길3동,16693
신길4동,12306
신길5동,10798
신길6동,19123
신길7동,19975
신내1동,38876
신내2동,20785
신당5동,10375
신당동,7598
신대방1동,23332
신대방2동,19871
신도림동,35707
신림동,21979
신사1동,27191
신사2동,20487
신사동,38727
신수동,22650
신원동,17978
신월1동,20615
신월2동,20865
신월3동,15360
신월4동,18134
신월5동,14819
신월6동,13768
신월7동,20122
신정1동,20503
신정2동,19591
신정3동,49607
신정4동,32898
신정6동,24773
신정7동,29308
신촌동,19496
쌍문1동,21560
쌍문2동,18841
쌍문3동,16520
쌍문4동,18825
아현동,25283
안암동,14877
암사1동,34814
암사2동,15271
암사3동,17942
압구정동,26570
약수동,16847
양재1동,43557
양재2동,22164
양평1동,18067
양평2동,22320
여의동,33324
역삼1동,35606
역삼2동,36121
역촌동,45822
연남동,15187
연희동,35275
염리동,16246
염창동,41940
영등포동,28810
영등포본동,21168
오금동,38861
오류1동,22771
오류2동,38330
오륜동,18202
옥수동,26176
왕십리2동,16627
왕십리도선동,26660
용강동,21691
용답동,11707
용문동,12009
용산2가동,9579
용신동,30992
우이동,20631
우장산동,43154
원효로1동,16000
원효로2동,13849
월계1동,21792
월계2동,27020
월계3동,30200
월곡1동,26593
월곡2동,19600
위례동,32367
은천동,33370
을지로동,1723
응봉동,15560
응암1동,32724
응암2동,27416
응암3동,24810
이문1동,17980
이문2동,20123
이촌1동,27308
이촌2동,8396
이태원1동,6499
이태원2동,9070
이화동,7310
인수동,30716
인헌동,25866
일원1동,15341
일원2동,17838
일원본동,23526
자양1동,22518
자양2동,25024
자양3동,28295
자양4동,17458
잠실2동,35440
잠실3동,34651
잠실4동,21296
잠실6동,16867
잠실7동,9643
잠실본동,28211
잠원동,27005
장안1동,38290
장안2동,32615
장위1동,24391
장위2동,13788
장위3동,16153
장지동,29535
장충동,4564
전농1동,29459
전농2동,18784
정릉1동,18343
정릉2동,23167
정릉3동,15090
정릉4동,25093
제기동,24660
조원동,17255
종로1.2.3.4가동,7204
종로5.6가동,5121
종암동,39054
중계1동,27069
중계2.3동,34736
중계4동,20201
중계본동,24306
중곡1동,15575
중곡2동,21638
중곡3동,16314
중곡4동,28873
중림동,12100
중앙동,15200
중화1동,19979
중화2동,25130
증산동,15103
진관동,56029
창1동,24968
창2동,29295
창3동,14007
창4동,26837
창5동,24785
창신1동,4964
창신2동,8037
창신3동,6706
천연동,17207
천호1동,27092
천호2동,33236
천호3동,26245
청구동,13695
청담동,26293
청량리동,19042
청룡동,35357
청림동,15296
청운효자동,12035
청파동,19568
충현동,20568
평창동,18177
풍납1동,13260
풍납2동,25117
필동,4061
하계1동,26907
하계2동,22280
한강로동,21756
한남동,20572
합정동,17612
행당1동,13935
행당2동,23560
행운동,29047
혜화동,16463
홍은1동,22747
홍은2동,26660
홍제1동,23892
홍제2동,13864
홍제3동,15458
화곡1동,52026
화곡2동,18074
화곡3동,21384
화곡4동,20735
화곡6동,24853
화곡8동,24603
화곡본동,34451
화양동,22962
황학동,12523
회기동,10442
회현동,4854
효창동,10157
후암동,17054
휘경1동,13658
휘경2동,24117
흑석동,31708
